id_etablissement,nom,type_etab,ville,region,pays,telephone,capacite_lits,niveau,actif
26,Hôpital Régional de Limbe,Hôpital public,Limbe,Sud-Ouest,Cameroun,+237 232 282 619,350,3,True
27,Hôpital Régional de Kumba,Hôpital public,Kumba,Sud-Ouest,Cameroun,+237 228 723 303,500,3,True
28,Hôpital Privé Mamfe,Hôpital privé,Mamfe,Sud-Ouest,Cameroun,+237 232 643 100,80,3,True
29,Polyclinique du Centre,Polyclinique,Tiko,Sud-Ouest,Cameroun,+237 221 471 999,80,2,True
30,Clinique Sainte-Marie Ngaoundéré,Clinique,Ngaoundéré,Adamaoua,Cameroun,+237 229 180 187,50,2,True
31,Dispensaire Meiganga,Dispensaire,Meiganga,Adamaoua,Cameroun,+237 232 228 231,46,1,True
32,Dispensaire Tibati,Dispensaire,Tibati,Adamaoua,Cameroun,+237 228 993 721,45,1,True
33,Centre de Santé de Banyo,Centre de santé,Banyo,Adamaoua,Cameroun,+237 224 508 787,28,1,True
34,Dispensaire Tignère,Dispensaire,Tignère,Adamaoua,Cameroun,+237 227 223 353,38,1,True
35,Hôpital Privé Garoua,Hôpital privé,Garoua,Nord,Cameroun,+237 229 667 335,30,3,True
36,Polyclinique du Centre,Polyclinique,Garoua,Nord,Cameroun,+237 231 746 160,50,2,True
37,Hôpital Privé Guider,Hôpital privé,Guider,Nord,Cameroun,+237 221 626 343,30,3,True
38,Clinique Sainte-Joseph Pitoa,Clinique,Pitoa,Nord,Cameroun,+237 228 235 840,350,2,True
39,Polyclinique du Centre,Polyclinique,Tcholliré,Nord,Cameroun,+237 232 584 926,200,2,True
40,Centre de Santé de Figuil,Centre de santé,Figuil,Nord,Cameroun,+237 230 541 462,27,1,True
41,Centre de Santé de Maroua,Centre de santé,Maroua,Extrême-Nord,Cameroun,+237 220 789 769,41,1,True
42,Dispensaire Kousseri,Dispensaire,Kousseri,Extrême-Nord,Cameroun,+237 231 447 919,21,1,True
43,Hôpital Régional de Mokolo,Hôpital public,Mokolo,Extrême-Nord,Cameroun,+237 228 559 243,50,3,True
44,Centre de Santé de Mora,Centre de santé,Mora,Extrême-Nord,Cameroun,+237 223 995 177,26,1,True
45,Centre de Santé de Yagoua,Centre de santé,Yagoua,Extrême-Nord,Cameroun,+237 230 653 956,50,1,True
46,Hôpital Régional de Bertoua,Hôpital public,Bertoua,Est,Cameroun,+237 226 597 592,30,3,True
47,Hôpital Privé Abong-Mbang,Hôpital privé,Abong-Mbang,Est,Cameroun,+237 222 488 102,500,3,True
48,Centre de Santé de Batouri,Centre de santé,Batouri,Est,Cameroun,+237 226 813 848,31,1,True
49,Polyclinique du Centre,Polyclinique,Yokadouma,Est,Cameroun,+237 223 403 322,350,2,True
50,Hôpital Régional de Doumé,Hôpital public,Doumé,Est,Cameroun,+237 225 158 151,200,3,True
51,Polyclinique du Centre,Polyclinique,Ebolowa,Sud,Cameroun,+237 228 182 971,120,2,True
52,Hôpital Privé Kribi,Hôpital privé,Kribi,Sud,Cameroun,+237 233 340 513,30,3,True
53,Hôpital Régional de Sangmélima,Hôpital public,Sangmélima,Sud,Cameroun,+237 229 140 734,200,3,True
54,Hôpital Régional de Ambam,Hôpital public,Ambam,Sud,Cameroun,+237 223 785 833,120,3,True
55,Clinique Sainte-Anne Djoum,Clinique,Djoum,Sud,Cameroun,+237 222 787 760,50,2,True
